"学校名","别名"
江西师范大学,"江西师范大学,江西省师范大学,江西師范大學,江西师大,江西师范大學,江西师范学院,JXNU,Jiangxi Normal University"
南昌大学,"南昌大学,University Of Nanchang,NCU,南昌大学医学院,江西工学院,江西省南昌大学,江西医学院,南昌大学医学部,昌大,江西大学,江西工业大学,江西大學,南昌大学江西医学院,南昌大學,江西南昌大学,Nanchang University"
南昌航空大学,"南昌航空大学,南昌航空工業学院,南昌航空学院,南昌航空學院,南昌航空工业学院,南昌航空工業學院,南昌航大,南昌空大学,南昌南航大学,昌航,NCHU,Nanchang Hangkong University"
济南大学,"济南大学,University Of Ji‘nan,济大,济南联合大学,University of Jinan"
聊城大学,"聊城大学,聊大,山东聊城大学,聊城师范学院,Liaocheng University"
鲁东大学,"鲁东大学,鲁大,LDU,烟台师范学院,烟台鲁东大学,Ludong University"
青岛大学,"青岛大学,青島大學,青大,青島大学,青大大学,Qingdao University"
青岛科技大学,"青岛科技大学,青岛科大,青科大,青岛化工学院,青岛科技大大学,Qingdao University of Science and Technology"
青岛理工大学,"青岛理工大学,青岛理工,QTU,青岛理工大学黄岛校区,青岛建筑工程学院,青岛理工黄岛校区,青島理工,Qingdao University of Technology"
青岛农业大学,"青岛农业大学,青岛农大,青农,QAU,Qingdao Agricultural University"
曲阜师范大学,"曲阜师范大学,曲阜師範大學,曲阜师范学院,山东省曲阜师范大学,曲阜师大,曲师大,山东曲阜师范大学,山東省曲阜師范大學,QFNU,曲阜师大,QFNU,Qufu Normal University"
山东大学,"山东大学,SDU,山東大學,山東大学,山东医科大学,山东大学威海分校,山东大学齐鲁医学院,山东工业大学,山大,Shandong University"
山东建筑大学,"山东建筑大学,山建筑大学,山东建工学院,山东建筑工程学院,山建大,山東建築大學,Shandong Jianzhu University"
山东科技大学,"山东科技大学,University Of Science and Technology Of Shandong,山東科技大學,山科,山科大,山东煤炭教育学院,山东矿院,山东科技大学土木工程与建筑学院,山东矿业学院,山东科大,Shandong University of Scientice and Technology,Shandong University of Science and Technology"
山东理工大学,"山东理工大学,山东理工大大学,山理工,山东理工,山东淄博理工大学,山东理工大學,SDUT,山东工程学院,山理工,SDUT,Shandong University of Technology"
山东农业大学,"山东农业大学,山农,山农大,山农大学,山东农大学,山东农大,山東農業大學,Shandong Agricultural University"
齐鲁工业大学,"齐鲁工业大学,山东省轻工业学院,山东齐鲁工业大学,齊魯工業大學,山东齐鲁大学,山东轻工业学院,山东轻工业大学,齐鲁工大,山東輕工業學院,Qilu University of Technology"
山东师范大学,"山东师范大学,山東師範大學,山东师范学院,山师,山東師範大学,山东师大,SDNU,Shandong Normal University"
烟台大学,"烟台大学,University Of Yantai,煙臺大學,煙台大學,烟大,烟园,Yantai University"
中国海洋大学,"中国海洋大学,青岛海洋大学,山东海洋学院,青島海洋大學,中國海洋大学,中国海大,中國海洋大學,山东青岛海洋大学,Ocean University of China"
中国石油大学（华东）,"中国石油大学（华东）,China University Of Petroleum [east China],中石大,中国石油大学,中国石油大学华东,China University of Petroleum,China University of Petroleum (East China)"
河南大学,"河南大学,He‘nan University,河大,河南大學,HENU,Henan University"
河南工业大学,"河南工业大学,He‘nan University of Technology,河南工业大学国际教育学院,郑州工程学院,河南工大,HAUT,郑州工业高等专科学校,Henan University of Technology"
河南科技大学,"河南科技大学,University Of Science and Technology Of He‘nan,河科大,HAUST,洛阳农机学院,洛陽工學院,洛阳工学院,河南科大,河南科技大學,Henan University of Science and Technology"
河南理工大学,"河南理工大学,Institutes Of Technology Of He‘nan,焦作矿院,焦作矿业学院,焦作工学院,河南理工,HPU,Henan Polytechnic University"
河南农业大学,"河南农业大学,Agricultural University Of He‘nan,河南农大,HENAU,Henan Agricultural University"
河南师范大学,"河南师范大学,He‘nan Normal University,河南师大,河南師範大學,HNU,河师大,Henan Normal University"
华北水利水电大学,"华北水利水电大学,华北水利学院,华北水院,華北水利水電学院,华北水水电大学,華北水利水電學院,华水,NCWU,华北水电水利大学,华北水利水电学院,华北水利水电学,华北水利大学,North China University of Water Resources and Electric Power"
郑州大学,"郑州大学,郑州工业大学,郑州大學,郑州大学工学院,郑大大学,郑大,ZZU,郑州工学院,鄭州大学,鄭州工業大學,郑州工业学院,河南医科大学,郑州大学软件学院,鄭州大學,Zhengzhou University"
郑州轻工业大学,"郑州轻工业大学,郑州轻院,郑州轻工大,郑州轻工业技术学院,郑州轻工业学院,郑州轻工业学院科学校区,鄭州輕工業大学,郑州轻工学院,Zhengzhou University of Light Industry"
中原工学院,"中原工学院,郑州纺织工学院,中工,中原学院,河南省郑州纺织工学院,中原工學院,ZUT,Zhongyuan University of Technology"
内蒙古大学,"内蒙古大学,University Of The Inner Mongol,内蒙大学,內蒙古大学,内蒙古大學,内大,Inner Mongolia University"
内蒙古工业大学,"内蒙古工业大学,Inner Mongol University of Technology,内工大,IMUT,内蒙工业大学,內蒙工业大学,内蒙古工大,内蒙工大,內蒙古工業大學,内蒙古电力学院,內蒙古工业大学,Inner Mongolia  Polytechnic University,Inner Mongolia University of Technology"
内蒙古农业大学,"内蒙古农业大学,Agricultural University Of The Inner Mongol,内蒙古农大,内农大,IMAU,內蒙古農業大學,Inner Mongolia Agricultural University"
内蒙古师范大学,"内蒙古师范大学,Inner Mongol Normal University,内师大,IMNU,內蒙古師範大學,内蒙古师大,内蒙师范,内蒙师范大学,Inner Mongolia Normal University"
东北石油大学,"东北石油大学,大庆石油学院,东油,东北石油大学秦皇岛校区,大庆石油,东北石油大学秦皇岛分校,大庆石油學院,东北石油学院,Northeast Petroleum University"
东北林业大学,"东北林业大学,东北林大,東北林業大學,哈尔滨东北林业大学,Northeast Forestry University"
东北农业大学,"东北农业大学,东农,黑龙江省东北农业大学,東北農業大學,东北农大,Northeast Agricultural University"
哈尔滨工程大学,"哈尔滨工程大学,哈爾濱船舶工程學院,哈工程,哈尔滨船舶工程学院,哈工程大学,哈工程 (HEU),Harbin Engineering University"
哈尔滨工业大学,"哈尔滨工业大学,哈尔滨工大,哈尔滨哈工大,哈工大,HIT,哈尔滨工业大学(威海),哈工业大学,哈工大工业大学,哈爾濱工業大學,哈尔滨建筑大学,哈建大,哈尔滨工业大学(深圳),Harbin Institute of Technology"
哈尔滨理工大学,"哈尔滨理工大学,哈理工大学,哈尔滨科大,哈理工,HUST,黑龙江工学院,哈爾濱理工大學,哈尔滨电工学院,哈尔滨科学技术大学,哈尔滨工业高等专科学校,哈尔滨理工大學,哈尔滨科技大学,哈尔滨理工学,哈尔滨科学技術大学,Harbin University of Science and Technology"
哈尔滨师范大学,"哈尔滨师范大学,哈尔滨师大,哈师大,HRBNU,哈尔滨师范学院,哈尔滨師范大学,哈师范,Harbin Normal University"
黑龙江八一农垦大学,"黑龙江八一农垦大学,八一农大,黑龙江八一农大,黑龙江省八一农垦大学,八一农垦大学,黑龙江八一大学,HLAU,Heilongjiang Bayi Agricultural University(HBAU),Heilongjiang Bayi Agricultural University"
黑龙江大学,"黑龙江大学,黑大,HLJU,Heilongjiang University of China,Heilongjiang University"
中国地质大学（武汉）,"中国地质大学（武汉）,北京地质学院,中国地质大学,地大,CUG,武汉地质学院,中国地质大学武汉,China University of Geosciences"
长江大学,"长江大学,Changjiang University,江漢石油學院,長江大學,江汉石油学院,长江大学武汉校区,湖北长江大学,长大,YU,Yangtze University"
武汉纺织大学,"武汉纺织大学,湖北财经高等专科学校,湖北财经高等專科學校,武漢科技學院,湖北高等专科学校,湖北对外贸易学校,纺大,WTU,湖北財經高等專科學校,武漢紡織大學,武汉科技学院,湖北財專,湖北财专,Wuhan Textile University"
湖北大学,"湖北大学,湖北大學,武汉师范学院,HUBU,Hubei University"
湖北工业大学,"湖北工业大学,湖北工学院,湖工大,湖北工业大學,HBUT,湖北工學院,湖北工大,湖工大,HBUT,Hubei University of Technology"
湖北美术学院,"湖北美术学院,Hubei Institute Of Fine Acts,湖北美院,湖美,HIFA,湖北美術學院,Hubei Institute of Fine Arts (HIFA),Hubei Institute of Fine Arts"
华中科技大学,"华中科技大学,華中理工大學,华中工学院,華中工學院,武汉华中科技大学,同济医学院,武汉医学院,华中科技大學,武漢華中科技大學,同济医科大学,华中大,武汉城建学院,华中理工大學,华中科技大大学,华中科技大,华中科大,华中科技大学同济医学院,武漢城建学院,華中科技大学,武汉城市建设学院,华中理工大学,武汉建设学院,武汉市华中科技大学,Huazhong University of Science and Technology"
华中农业大学,"华中农业大学,湖北农学院,华中农学院,华中农大,Central China Agricultural University,Huazhong Agricultural University"
华中师范大学,"华中师范大学,華中師範大學,華中師範,华中师范学院,华中师范,华中师大,華中師范大學,华中師范大学,CCNU,華中師範大学,华师大,Central China Normal University(CCNU),Central China Normal University"
江汉大学,"江汉大学,江大,江漢大学,江漢大學,武汉江汉大学,Jianghan University"
三峡大学,"三峡大学,三峽大學,湖北三峡大学,山峡大学,三峽大学,CTGU,湖北省三峡大学,China Three Gorges University"
武汉大学,"武汉大学,国立武汉大学,武汉大学水利水电学院,武汉水利水电学院,武汉大学苏州研究院,武汉测绘科技大学,武漢測繪科技大學,武汉大學,武漢大學,武漢大学,武大,WHU,湖北医科大学,湖北武漢大學,武汉大学医学部,武汉測繪科技大學,武漢水利電力學院,武汉水利电力大学,湖北武汉大学,武漢水利電力大學,武汉水利电力学院,Wuhan University"
